행정동코드,자치구,행정동,dep_2022,dep_2023,dep_2024,dep_2025
1123072,강남구,일원본동,26.5,39.6,25.2,26.4
1123073,강남구,일원1동,36.2,46.6,41.1,39.7
1123074,강남구,일원2동,26.9,,22.4,25.5
1123075,강남구,수서동,40.3,48.6,32.2,42.2
1123076,강남구,세곡동,33.6,50.8,45.9,47.7
1123077,강남구,압구정동,48.4,60.9,55.3,55.1
1123078,강남구,청담동,48.5,57.7,54.3,56.3
1123079,강남구,대치2동,43.2,56.7,47.9,51.5
1123080,강남구,개포2동,33.0,44.6,35.1,41.6
1124051,송파구,풍납1동,26.8,41.3,30.1,31.1
1124052,송파구,풍납2동,38.9,49.0,39.2,40.0
1124053,송파구,거여1동,30.8,43.9,35.7,40.5
1124054,송파구,거여2동,33.6,49.2,32.9,40.2
1124055,송파구,마천1동,41.1,49.8,45.9,43.8
1124056,송파구,마천2동,39.7,51.7,40.4,51.4
1124057,송파구,방이1동,32.9,46.4,35.8,42.2
1124058,송파구,방이2동,56.1,72.5,66.9,60.4
1124059,송파구,오륜동,18.7,26.8,18.0,23.2
1124060,송파구,오금동,46.4,59.6,50.5,52.1
1124061,송파구,송파1동,48.7,59.2,54.7,53.7
1124062,송파구,송파2동,24.3,38.4,30.9,33.0
1124063,송파구,석촌동,61.3,72.7,64.2,60.3
1124064,송파구,삼전동,47.9,57.5,53.3,50.5
1124065,송파구,가락본동,58.2,68.9,58.3,59.4
1124066,송파구,가락1동,46.9,56.9,47.9,54.0
1124067,송파구,가락2동,42.6,54.2,44.4,46.0
1124068,송파구,문정1동,40.3,48.7,43.9,45.0
1124069,송파구,문정2동,44.4,60.5,53.9,59.2
1124071,송파구,잠실본동,58.8,69.4,60.2,64.0
1124075,송파구,잠실4동,23.2,34.9,25.3,26.6
1124077,송파구,잠실6동,39.1,38.1,36.8,39.1
1124078,송파구,잠실7동,,,,
1124079,송파구,잠실2동,22.1,38.2,32.0,33.0
1124080,송파구,잠실3동,33.5,49.4,38.1,42.1
1124081,송파구,장지동,36.0,46.2,43.5,43.4
1124082,송파구,위례동,26.4,39.2,31.8,39.9
1125051,강동구,강일동,32.1,44.0,35.6,42.1
1125052,강동구,상일동,33.9,40.9,32.5,37.6
1125053,강동구,명일1동,39.2,51.7,42.3,46.0
1125054,강동구,명일2동,25.4,35.6,23.2,33.6
1125055,강동구,고덕1동,28.8,40.8,28.1,33.2
1125056,강동구,고덕2동,,,37.4,42.8
1125058,강동구,암사2동,,,33.0,38.0
1125059,강동구,암사3동,18.9,34.5,24.6,28.8
1125061,강동구,천호1동,46.3,61.5,56.1,51.9
1125063,강동구,천호3동,52.1,57.9,56.5,58.9
1125065,강동구,성내1동,41.9,50.6,41.8,39.6
1125066,강동구,성내2동,56.5,65.2,61.0,58.8
1125067,강동구,성내3동,53.0,62.9,48.6,51.7
1125070,강동구,둔촌1동,0.0,11.1,,36.8
1125071,강동구,둔촌2동,38.0,56.5,44.0,47.0
1125072,강동구,암사1동,48.5,66.5,56.5,59.3
1125073,강동구,천호2동,65.2,73.0,68.9,66.6
1125074,강동구,길동,63.4,76.3,69.8,70.6
